Source,Target,Strength,Type,Source_Group,Source_Importance,Source_Time,Source_Image,Target_Group,Target_Importance,Target_Time,Target_Image
thanos,gamora,10,family,Villain,10,29:00,,Guardians,7,14:00,
thanos,nebula,8,family,Villain,10,29:00,,Guardians,3,3:00,
thanos,loki,7,enemy,Villain,10,29:00,,Asgardians,4,3:00,
thanos,vision,8,enemy,Villain,10,29:00,,Avengers,5,8:00,
thanos,scarlet_witch,7,enemy,Villain,10,29:00,,Avengers,5,7:30,
thanos,red_skull,5,ally,Villain,10,29:00,,Supporting,2,1:30,
thanos,collector,5,enemy,Villain,10,29:00,,Supporting,1,0:45,
thanos,ebony_maw,9,ally,Villain,10,29:00,,Black Order,4,5:00,
thanos,proxima_midnight,8,ally,Villain,10,29:00,,Black Order,3,3:30,
thanos,corvus_glaive,8,ally,Villain,10,29:00,,Black Order,3,3:00,
thanos,cull_obsidian,8,ally,Villain,10,29:00,,Black Order,3,3:00,
ebony_maw,iron_man,8,enemy,Black Order,4,5:00,,Avengers,9,18:00,
ebony_maw,doctor_strange,9,enemy,Black Order,4,5:00,,Mystic Arts,7,13:00,
ebony_maw,spider_man,7,enemy,Black Order,4,5:00,,Avengers,5,7:00,
proxima_midnight,captain_america,7,enemy,Black Order,3,3:30,,Avengers,6,7:00,
proxima_midnight,black_widow,8,enemy,Black Order,3,3:30,,Avengers,5,5:30,
proxima_midnight,scarlet_witch,7,enemy,Black Order,3,3:30,,Avengers,5,7:30,
proxima_midnight,okoye,7,enemy,Black Order,3,3:30,,Wakanda,3,3:00,
corvus_glaive,vision,9,enemy,Black Order,3,3:00,,Avengers,5,8:00,
corvus_glaive,scarlet_witch,7,enemy,Black Order,3,3:00,,Avengers,5,7:30,
corvus_glaive,captain_america,6,enemy,Black Order,3,3:00,,Avengers,6,7:00,
cull_obsidian,iron_man,7,enemy,Black Order,3,3:00,,Avengers,9,18:00,
cull_obsidian,hulk,8,enemy,Black Order,3,3:00,,Avengers,5,7:00,
cull_obsidian,wong,7,enemy,Black Order,3,3:00,,Mystic Arts,3,2:30,
cull_obsidian,spider_man,6,enemy,Black Order,3,3:00,,Avengers,5,7:00,
ebony_maw,cull_obsidian,7,ally,Black Order,4,5:00,,Black Order,3,3:00,
proxima_midnight,corvus_glaive,9,ally,Black Order,3,3:30,,Black Order,3,3:00,
spider_man,ned_leeds,9,ally,Avengers,5,7:00,,Supporting,1,0:15,
nick_fury,maria_hill,9,ally,Supporting,2,1:00,,Supporting,1,0:45,
