Source,Target,Strength,Type,Source_Group,Source_Importance,Source_Image,Target_Group,Target_Importance,Target_Image
Darth Vader,Emperor,21,ally,Empire,190,images/darth_vader.jpg,Empire,52,images/emperor.jpg
Chewbacca,Lando,20,ally,Rebels,145,images/chewbacca.jpg,Rebels,42,
Chewbacca,Finn,20,ally,Rebels,145,images/chewbacca.jpg,Resistance,64,images/finn.jpg
Obi-Wan,Yoda,20,ally,Jedi Order,148,images/obi_wan.jpg,Jedi Order,46,images/yoda.jpg
Han,R2-D2,18,ally,Rebels,170,images/han.jpg,Droids,171,images/r2_d2.jpg
Chewbacca,R2-D2,17,ally,Rebels,145,images/chewbacca.jpg,Droids,171,images/r2_d2.jpg
BB-8,Rey,17,ally,Droids,40,images/bb_8.jpg,Resistance,57,images/rey.jpg
Han,Rey,17,ally,Rebels,170,images/han.jpg,Resistance,57,images/rey.jpg
Padme,Qui-Gon,16,ally,Republic,75,,Jedi Order,62,images/qui_gon.jpg
Mace Windu,Yoda,16,ally,Jedi Order,23,images/mace_windu.jpg,Jedi Order,46,images/yoda.jpg
BB-8,Finn,15,ally,Droids,40,images/bb_8.jpg,Resistance,64,images/finn.jpg
Jar Jar,Obi-Wan,15,ally,Naboo,42,images/jar_jar.jpg,Jedi Order,148,images/obi_wan.jpg
Qui-Gon,R2-D2,13,ally,Jedi Order,62,images/qui_gon.jpg,Droids,171,images/r2_d2.jpg
Chewbacca,Rey,13,ally,Rebels,145,images/chewbacca.jpg,Resistance,57,images/rey.jpg
Darth Vader,Jar Jar,12,ally,Empire,190,images/darth_vader.jpg,Naboo,42,images/jar_jar.jpg
C-3PO,Padme,12,ally,Droids,151,images/c_3po.jpg,Republic,75,
Lando,Leia,12,ally,Rebels,42,,Rebels,99,
Han,Lando,12,ally,Rebels,170,images/han.jpg,Rebels,42,
C-3PO,Darth Vader,11,ally,Droids,151,images/c_3po.jpg,Empire,190,images/darth_vader.jpg
Jar Jar,Padme,10,ally,Naboo,42,images/jar_jar.jpg,Republic,75,
Han,Obi-Wan,10,ally,Rebels,170,images/han.jpg,Jedi Order,148,images/obi_wan.jpg
Darth Vader,Mace Windu,9,enemy,Empire,190,images/darth_vader.jpg,Jedi Order,23,images/mace_windu.jpg
Darth Vader,Yoda,9,enemy,Empire,190,images/darth_vader.jpg,Jedi Order,46,images/yoda.jpg
BB-8,Han,9,ally,Droids,40,images/bb_8.jpg,Rebels,170,images/han.jpg
C-3PO,Obi-Wan,9,ally,Droids,151,images/c_3po.jpg,Jedi Order,148,images/obi_wan.jpg
Mace Windu,Obi-Wan,9,ally,Jedi Order,23,images/mace_windu.jpg,Jedi Order,148,images/obi_wan.jpg
Darth Vader,Luke,8,enemy,Empire,190,images/darth_vader.jpg,Rebels,161,images/luke.jpg
BB-8,Poe,8,ally,Droids,40,images/bb_8.jpg,Resistance,31,images/poe.jpg
Bail Organa,Yoda,8,ally,Republic,24,images/bail_organa.jpg,Jedi Order,46,images/yoda.jpg
Bail Organa,Obi-Wan,8,ally,Republic,24,images/bail_organa.jpg,Jedi Order,148,images/obi_wan.jpg
C-3PO,Lando,8,ally,Droids,151,images/c_3po.jpg,Rebels,42,
Darth Vader,Tarkin,7,ally,Empire,190,images/darth_vader.jpg,Empire,13,images/tarkin.jpg
Chewbacca,Obi-Wan,6,ally,Rebels,145,images/chewbacca.jpg,Jedi Order,148,images/obi_wan.jpg
Bail Organa,Emperor,6,ally,Republic,24,images/bail_organa.jpg,Empire,52,images/emperor.jpg
Luke,Yoda,6,ally,Rebels,161,images/luke.jpg,Jedi Order,46,images/yoda.jpg
Lando,R2-D2,5,ally,Rebels,42,,Droids,171,images/r2_d2.jpg
Emperor,Obi-Wan,5,enemy,Empire,52,images/emperor.jpg,Jedi Order,148,images/obi_wan.jpg
Bail Organa,Padme,5,ally,Republic,24,images/bail_organa.jpg,Republic,75,
Admiral Ackbar,Lando,5,ally,Rebels,13,images/admiral_ackbar.jpg,Rebels,42,
General Hux,Kylo Ren,5,ally,First Order,15,images/general_hux.jpg,First Order,23,images/kylo_ren.jpg
Darth Vader,Lando,4,enemy,Empire,190,images/darth_vader.jpg,Rebels,42,
Kylo Ren,Rey,4,enemy,First Order,23,images/kylo_ren.jpg,Resistance,57,images/rey.jpg
Chewbacca,Kylo Ren,3,ally,Rebels,145,images/chewbacca.jpg,First Order,23,images/kylo_ren.jpg
BB-8,Leia,3,ally,Droids,40,images/bb_8.jpg,Rebels,99,
BB-8,C-3PO,3,ally,Droids,40,images/bb_8.jpg,Droids,151,images/c_3po.jpg
Darth Maul,Emperor,3,enemy,Jedi Order,6,images/darth_maul.jpg,Empire,52,images/emperor.jpg
Count Dooku,Padme,3,ally,Sith,10,images/count_dooku.jpg,Republic,75,
Count Dooku,Obi-Wan,3,enemy,Sith,10,images/count_dooku.jpg,Jedi Order,148,images/obi_wan.jpg
Bail Organa,C-3PO,3,ally,Republic,24,images/bail_organa.jpg,Droids,151,images/c_3po.jpg
Luke,Red Leader,3,ally,Rebels,161,images/luke.jpg,Rebels,34,images/red_leader.jpg
Emperor,Luke,3,enemy,Empire,52,images/emperor.jpg,Rebels,161,images/luke.jpg
Captain Phasma,Finn,3,enemy,First Order,7,images/captain_phasma.jpg,Resistance,64,images/finn.jpg
Finn,Leia,3,ally,Resistance,64,images/finn.jpg,Rebels,99,
Leia,Poe,3,ally,Rebels,99,,Resistance,31,images/poe.jpg
Han,Kylo Ren,3,ally,Rebels,170,images/han.jpg,First Order,23,images/kylo_ren.jpg
Jango Fett,Boba Fett,3,ally,Bounty Hunters,6,images/jango_fett.jpg,Bounty Hunters,11,images/boba_fett.jpg
Chewbacca,Darth Vader,2,enemy,Rebels,145,images/chewbacca.jpg,Empire,190,images/darth_vader.jpg
Darth Vader,Leia,2,enemy,Empire,190,images/darth_vader.jpg,Rebels,99,
Darth Vader,Han,2,enemy,Empire,190,images/darth_vader.jpg,Rebels,170,images/han.jpg
Boba Fett,Chewbacca,2,ally,Bounty Hunters,11,images/boba_fett.jpg,Rebels,145,images/chewbacca.jpg
Count Dooku,Yoda,2,enemy,Sith,10,images/count_dooku.jpg,Jedi Order,46,images/yoda.jpg
Count Dooku,Emperor,2,ally,Sith,10,images/count_dooku.jpg,Empire,52,images/emperor.jpg
C-3PO,Emperor,2,ally,Droids,151,images/c_3po.jpg,Empire,52,images/emperor.jpg
Boba Fett,Lando,2,ally,Bounty Hunters,11,images/boba_fett.jpg,Rebels,42,
Admiral Ackbar,Han,2,ally,Rebels,13,images/admiral_ackbar.jpg,Rebels,170,images/han.jpg
Admiral Ackbar,Leia,2,ally,Rebels,13,images/admiral_ackbar.jpg,Rebels,99,
Kylo Ren,Poe,2,enemy,First Order,23,images/kylo_ren.jpg,Resistance,31,images/poe.jpg
Han,Poe,2,ally,Rebels,170,images/han.jpg,Resistance,31,images/poe.jpg
Finn,Kylo Ren,2,enemy,Resistance,64,images/finn.jpg,First Order,23,images/kylo_ren.jpg
Count Dooku,Mace Windu,2,enemy,Sith,10,images/count_dooku.jpg,Jedi Order,23,images/mace_windu.jpg
General Grievous,Obi-Wan,2,enemy,Sith,13,images/general_grievous.jpg,Jedi Order,148,images/obi_wan.jpg
